borough,total_crimes
barnet,31986
bexley,18776
brent,34400
bromley,26028
camden,39184
croydon,39599
ealing,35149
enfield,34357
greenwich,31958
hackney,35228
haringey,33084
harrow,18434
havering,23099
hillingdon,28390
hounslow,29029
islington,31169
kingston upon thames,14106
lambeth,37874
lewisham,32256
merton,15983
newham,40958
redbridge,27750
richmond upon thames,13247
southwark,39558
sutton,15733
tower hamlets,39536
waltham forest,25992
wandsworth,27579
westminster,88326
